Rank,Player,Team,Followers
1,LeBron James,Los Angeles Lakers,159 855 350
2,Stephen Curry,Golden State Warriors,58 125 146
3,Russell Westbrook,Denver Nuggets,23 018 342
4,Kyrie Irving,Dallas Mavericks,20 299 956
5,Lonzo Ball,Chicago Bulls,18 281 980
6,Klay Thompson,Dallas Mavericks,16 912 783
7,Giannis Antetokounmpo,Milwaukee Bucks,15 981 855
8,Kevin Durant,Phoenix Suns,13 755 477
9,Chris Paul,San Antonio Spurs,11 631 755
10,LaMelo Ball,Charlotte Hornets,10 615 858
11,Luka Doncic,Los Angeles Lakers,10 507 139
12,Damian Lillard,Milwaukee Bucks,10 218 076
13,Jimmy Butler,Miami Heat,10 124 731
14,Paul George,Philadelphia Sixers,9 962 507
15,Ja Morant,Memphis Grizzlies,9 750 133
16,Bronny James,Los Angeles Lakers,8 060 131
17,Joel Embiid,Philadelphia Sixers,7 437 296
18,Ben Simmons,Brooklyn Nets,7 342 622
19,Jayson Tatum,Boston Celtics,7 302 508
20,Anthony Davis,Dallas Mavericks,7 208 597
21,Dennis Schroder,Brooklyn Nets,6 162 405
22,Devin Booker,Phoenix Suns,5 687 570
23,Trae Young,Atlanta Hawks,5 105 967
24,Zion Williamson,New Orleans Pelicans,5 089 165
25,Kyle Kuzma,Washington Wizards,4 768 934
26,Anthony Edwards,Minnesota Timberwolves,4 621 905
27,Victor Wembanyama,San Antonio Spurs,4 470 548
28,Karl-Anthony Towns,Minnesota Timberwolves,4 349 632
29,Draymond Green,Golden State Warriors,4 120 431
30,Jaylen Brown,Boston Celtics,4 090 048
31,Shai Gilgeous-Alexander,Oklahoma City Thunder,4 018 932
32,Donovan Mitchell,Cleveland Cavaliers,3 859 648
33,D'Angelo Russell,Los Angeles Lakers,3 825 184
34,Tristan Thompson,Cleveland Cavaliers,3 802 207
35,Kevin Love,Miami Heat,3 520 964
36,DeMar DeRozan,Sacramento Kings,3 341 342
37,Jalen Green,Houston Rockets,2 481 820
38,Tyler Herro,Miami Heat,2 341 475
39,Zach LaVine,Chicago Bulls,2 323 714
40,Jordan Poole,Washington Wizards,2 267 751
41,Brandon Ingram,New Orleans Pelicans,2 165 773
42,Andrew Wiggins,Golden State Warriors,2 138 198
43,Jordan Clarkson,Utah Jazz,2 046 880
44,Seth Curry,Charlotte Hornets,2 007 786
45,DeAndre Jordan,Denver Nuggets,1 814 511
46,Jared McCain,Philadelphia Sixers,1 798 048
47,Kristaps Porzingis,Boston Celtics,1 611 315
48,De'Aaron Fox,Sacramento Kings,1 545 013
49,Dejounte Murray,New Orleans Pelicans,1 448 433
50,Austin Reaves,Los Angeles Lakers,1 444 027
51,"Kelly Oubre, Jr.",Philadelphia Sixers,1 422 091
52,Kyle Lowry,Philadelphia Sixers,1 383 057
53,Alex Caruso,Oklahoma City Thunder,1 381 274
54,Mac McClung,Orlando Magic,1 340 559
55,Jamal Murray,Denver Nuggets,1 325 397
56,Kentavious Caldwell-Pope,Orlando Magic,1 314 032
57,Bradley Beal,Phoenix Suns,1 310 216
58,Andre Drummond,Philadelphia Sixers,1 270 590
59,Aaron Gordon,Denver Nuggets,1 233 756
60,C.J. McCollum,New Orleans Pelicans,1 216 200
61,Tyrese Haliburton,Indiana Pacers,1 208 014
62,Rob Dillingham,Minnesota Timberwolves,1 163 648
