Player;Team;years_with_team;draft_pos;all_star;num_teams;Age;GP;W;L;Min;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-;ig_followers;resigned;Agent
Stephen Curry;GSW;12;7;7;1;33;63;37;26;34.2;32.0;10.4;21.7;48.2;5.3;12.7;42.1;5.7;6.3;91.6;0.5;5.0;5.5;5.8;3.4;1.2;0.1;1.9;47.9;8.0;0.0;3.9;58 125 146;1;3.0
Bradley Beal;WAS;9;3;3;1;28;60;32;28;35.8;31.3;11.2;23.0;48.5;2.2;6.2;34.9;6.8;7.7;88.9;1.2;3.5;4.7;4.4;3.1;1.2;0.4;2.3;45.0;4.0;0.0;-0.1;1 310 216;1;7.0
Damian Lillard;POR;9;6;6;1;30;67;39;28;35.8;28.8;9.0;19.9;45.1;4.1;10.5;39.1;6.7;7.2;92.8;0.5;3.7;4.2;7.5;3.0;0.9;0.3;1.5;45.7;16.0;0.0;3.0;10 218 076;1;16.0
Joel Embiid;PHI;7;3;4;1;27;51;39;12;31.1;28.5;9.0;17.6;51.3;1.1;3.0;37.7;9.2;10.7;85.9;2.2;8.4;10.6;2.8;3.1;1.0;1.4;2.4;49.3;31.0;0.0;7.9;7 437 296;1;4.0
Giannis Antetokounmpo;MIL;8;15;5;1;26;61;40;21;33.0;28.1;10.3;18.0;56.9;1.1;3.6;30.3;6.5;9.5;68.5;1.6;9.4;11.0;5.9;3.4;1.2;1.2;2.8;53.9;41.0;7.0;6.7;15 981 855;1;15.0
Luka Doncic;DAL;3;3;2;1;22;66;40;26;34.3;27.7;9.8;20.5;47.9;2.9;8.3;35.0;5.2;7.1;73.0;0.8;7.2;8.0;8.6;4.3;1.0;0.5;2.3;50.5;26.0;11.0;2.5;10 507 139;1;0.0
Zach LaVine;CHI;4;13;1;2;26;58;26;32;35.1;27.4;9.8;19.4;50.7;3.4;8.2;41.9;4.4;5.1;84.9;0.6;4.4;5.0;4.9;3.5;0.8;0.5;2.4;41.0;3.0;0.0;-0.2;2 323 714;1;6.0
Zion Williamson;NOP;2;1;1;1;20;61;29;32;33.2;27.0;10.4;17.0;61.1;0.2;0.6;29.4;6.0;8.7;69.8;2.7;4.5;7.2;3.7;2.7;0.9;0.6;2.2;43.2;14.0;0.0;1.5;5 089 165;1;0.0
Kevin Durant;BKN;2;2;11;3;32;35;23;12;33.1;26.9;9.3;17.2;53.7;2.4;5.4;45.0;6.0;6.8;88.2;0.4;6.7;7.1;5.6;3.4;0.7;1.3;2.0;46.3;12.0;0.0;8.0;13 755 477;1;12.0
Kyrie Irving;BKN;2;1;7;3;29;54;36;18;34.9;26.9;10.2;20.1;50.6;2.8;7.0;40.2;3.7;4.0;92.2;1.0;3.8;4.8;6.0;2.4;1.4;0.7;2.6;45.5;8.0;0.0;4.2;20 299 956;1;20.0
Jayson Tatum;BOS;4;3;2;1;23;64;34;30;35.8;26.4;9.5;20.6;45.9;2.9;7.6;38.6;4.6;5.3;86.8;0.8;6.6;7.4;4.3;2.7;1.2;0.5;1.9;44.1;15.0;1.0;2.5;7 302 508;1;0.0
Donovan Mitchell;UTA;4;13;2;1;24;53;39;14;33.4;26.4;9.0;20.6;43.8;3.4;8.7;38.6;5.0;6.0;84.5;0.9;3.5;4.4;5.2;2.8;1.0;0.3;2.2;40.6;2.0;0.0;5.4;3 859 648;1;24.0
Nikola Jokic;DEN;6;41;3;1;26;72;47;25;34.6;26.4;10.2;18.0;56.6;1.3;3.3;38.8;4.8;5.5;86.8;2.8;8.0;10.8;8.3;3.1;1.3;0.7;2.7;54.7;60.0;16.0;5.3;0;1;0.0
Devin Booker;PHX;6;13;2;1;24;67;48;19;33.9;25.6;9.3;19.2;48.4;1.9;5.5;34.0;5.1;5.9;86.7;0.5;3.7;4.2;4.3;3.1;0.8;0.2;2.7;37.1;1.0;0.0;4.9;5 687 570;1;2.0
Trae Young;ATL;3;5;1;1;22;63;36;27;33.7;25.3;7.7;17.7;43.8;2.2;6.3;34.3;7.7;8.7;88.6;0.6;3.3;3.9;9.4;4.1;0.8;0.2;1.8;43.1;28.0;0.0;4.2;5 105 967;1;0.0
De'Aaron Fox;SAC;4;5;0;1;23;58;24;34;35.1;25.2;9.1;19.1;47.7;1.8;5.5;32.2;5.2;7.2;71.9;0.6;2.9;3.5;7.2;3.0;1.5;0.5;2.9;43.1;11.0;0.0;-3.4;1 545 013;1;6.0
LeBron James;LAL;3;1;17;3;36;45;30;15;33.4;25.0;9.4;18.3;51.3;2.3;6.3;36.5;4.0;5.7;69.8;0.6;7.0;7.7;7.8;3.7;1.1;0.6;1.6;47.0;18.0;5.0;6.4;159 855 350;1;6.0
Kawhi Leonard;LAC;2;15;5;3;30;52;36;16;34.1;24.8;8.9;17.5;51.2;1.9;4.9;39.8;5.0;5.7;88.5;1.1;5.4;6.5;5.2;2.0;1.6;0.4;1.6;44.2;9.0;0.0;8.6;0;1;8.0
Karl-Anthony Towns;MIN;6;1;2;1;25;50;19;31;33.8;24.8;8.5;17.5;48.6;2.4;6.3;38.7;5.3;6.2;85.9;2.7;7.9;10.6;4.5;3.2;0.8;1.1;3.7;46.8;33.0;0.0;0.2;4 349 632;1;2.0
Jaylen Brown;BOS;5;3;1;1;24;58;30;28;34.5;24.7;9.3;19.2;48.4;2.8;7.1;39.7;3.3;4.3;76.4;1.2;4.8;6.0;3.4;2.7;1.2;0.6;2.9;39.5;10.0;0.0;1.2;4 090 048;1;1.0
James Harden;BKN;1;3;9;3;31;44;31;13;36.6;24.6;7.8;16.7;46.6;2.8;7.6;36.2;6.3;7.3;86.1;0.8;7.1;7.9;10.8;4.0;1.2;0.8;2.3;52.1;32.0;12.0;2.3;146 666;1;22.0
Collin Sexton;CLE;3;8;0;1;22;60;18;42;35.3;24.3;8.8;18.4;47.5;1.6;4.4;37.1;5.2;6.4;81.5;1.0;2.2;3.1;4.4;2.8;1.0;0.2;2.6;35.4;1.0;0.0;-6.3;0;1;6.0
Julius Randle;NYK;2;7;1;3;26;71;40;31;37.6;24.1;8.5;18.6;45.6;2.3;5.5;41.1;4.9;6.0;81.1;1.2;9.0;10.2;6.0;3.4;0.9;0.3;3.2;45.4;41.0;6.0;2.2;973 593;1;5.0
Brandon Ingram;NOP;2;2;1;2;23;61;29;32;34.3;23.8;8.4;18.0;46.6;2.3;6.1;38.1;4.6;5.2;87.8;0.6;4.3;4.9;4.9;2.5;0.7;0.6;2.0;38.2;4.0;0.0;0.7;2 165 773;1;27.0
Shai Gilgeous-Alexander;OKC;1;11;0;2;22;35;16;19;33.7;23.7;8.2;16.1;50.8;2.0;4.9;41.8;5.3;6.5;80.8;0.5;4.2;4.7;5.9;3.0;0.8;0.7;2.0;39.5;3.0;0.0;-5.3;4 018 932;1;0.0
Nikola Vucevic;CHI;2;16;2;3;30;70;26;44;33.5;23.4;9.5;19.9;47.7;2.5;6.3;40.0;1.9;2.2;84.0;2.1;9.6;11.7;3.8;1.8;0.9;0.7;2.0;46.2;48.0;2.0;-4.9;0;1;42.0
Paul George;LAC;2;10;7;3;31;54;38;16;33.7;23.3;8.2;17.6;46.7;3.2;7.7;41.1;3.7;4.2;86.8;0.8;5.8;6.6;5.2;3.3;1.1;0.4;2.4;40.5;9.0;0.0;8.0;9 962 507;1;5.0
CJ McCollum;POR;8;10;0;1;29;47;28;19;34.0;23.1;8.6;18.8;45.8;3.6;8.9;40.2;2.3;2.8;81.2;0.6;3.3;3.9;4.7;1.4;0.9;0.4;1.9;37.7;2.0;0.0;4.4;0;1;0.0
Jerami Grant;DET;1;39;0;4;27;54;15;39;33.9;22.3;7.4;17.3;42.9;2.1;6.1;35.0;5.4;6.4;84.5;0.6;4.0;4.6;2.8;2.0;0.6;1.1;2.3;35.2;3.0;0.0;-2.2;210 615;1;6.0
Russell Westbrook;WAS;1;4;9;3;32;65;30;35;36.4;22.2;8.4;19.0;43.9;1.3;4.2;31.5;4.2;6.4;65.6;1.7;9.9;11.5;11.7;4.8;1.4;0.4;2.9;54.1;59.0;38.0;-1.4;23 018 342;1;30.0
Anthony Davis;LAL;2;1;8;2;28;36;23;13;32.3;21.8;8.4;17.0;49.1;0.7;2.8;26.0;4.4;5.9;73.8;1.7;6.2;7.9;3.1;2.1;1.3;1.6;1.7;42.6;12.0;0.0;3.2;7 208 597;1;6.0
DeMar DeRozan;SAS;2;9;4;2;31;61;27;34;33.7;21.6;7.5;15.1;49.5;0.3;1.2;25.7;6.3;7.2;88.0;0.7;3.6;4.2;6.9;2.0;0.9;0.2;2.1;38.6;13.0;0.0;-1.7;3 341 342;0;16.0
Jimmy Butler III;MIA;2;30;5;4;31;52;33;19;33.6;21.5;7.0;14.2;49.7;0.5;2.0;24.5;6.9;8.0;86.3;1.8;5.1;6.9;7.1;2.1;2.1;0.3;1.4;45.6;17.0;4.0;3.8;0;1;0.0
Pascal Siakam;TOR;5;27;1;1;27;56;21;35;35.8;21.4;7.8;17.2;45.5;1.3;4.4;29.7;4.4;5.4;82.7;1.7;5.5;7.2;4.5;2.3;1.1;0.7;3.1;39.8;13.0;1.0;2.3;722 511;1;13.0
Jamal Murray;DEN;5;7;0;1;24;48;31;17;35.5;21.2;7.9;16.5;47.7;2.7;6.6;40.8;2.8;3.2;86.9;0.8;3.3;4.0;4.8;2.3;1.3;0.3;2.0;35.8;1.0;0.0;6.3;1 325 397;1;28.0
